start	end	text
1819000	1823000	Si uno ponía sus USDT a hacer...
1823000	1826000	Como en un pool, no. Como hacer staking, digamos.
1826000	1828000	O bloquearlos por cierto tiempo.
1828000	1830000	O bloqueo flexible.
1830000	1833000	Entonces, hay oportunidades como esa.
1833000	1835000	Siempre tienen riesgo.
1835000	1837000	Pero cuando son porcentajes bastante altos.
1837000	1839000	Yo creo que vale la...
1839000	1841000	O sea, el riesgo existe siempre.
1841000	1843000	Pues estamos en el sector cripto.
1843000	1846000	Pero nosotros podemos buscar ese tipo de opciones también.
1846000	1848000	Para poder generar ingresos.
1848000	1854000	Porque un banco no te va a dar un 40% anual.
1854000	1856000	O sea, eso es una cosa loca.
1856000	1860000	Entonces, el banco te da 0.5% anual.
1860000	1862000	Imagínate que un banco te dé 5%.
1862000	1865000	Dividilo entre 12 y eso es lo que te dan.
1865000	1867000	Ya vas a ver.
1874000	1877000	¿Cuánto sería eso? Déjame ver.
1878000	1880000	No te dan nada.
1880000	1882000	¿De acuerdo? Vamos nosotros al punto.
1882000	1884000	No voy a hacer numeritos aquí.
1884000	1885000	Bien.
1885000	1888000	Idea general es que usted pregunte.
1888000	1890000	Todas las dudas que tenga.
1890000	1892000	En relación...
1892000	1894000	Estas preguntas y respuestas conmigo.
1894000	1896000	Yo lo leo en el chat.
1896000	1899000	Y también voy a estar pendiente de lo que me vaya diciendo el moderador.
1899000	1901000	Que es el organizador.
1901000	1903000	Ajá, el 2%, correcto.
1903000	1905000	Mensual, ¿verdad?
1906000	1907000	No.
1907000	1909000	No, no, no.
1909000	1911000	Si fuera un 2% mensual, hasta yo lo hiciera.
1911000	1914000	Porque estaríamos hablando de...
1914000	1918000	De un 24% anual.
1918000	1922000	Si un banco me ofrece eso, un 2%...
1923000	1924000	No te dan eso.
1924000	1926000	Bueno, en mi país no dan eso.
1926000	1927000	Tal vez en Argentina.
1927000	1928000	O no sé.
1928000	1929000	¿De acuerdo?
1929000	1931000	Dice...
1931000	1932000	Ok.
1936000	1937000	Ok.
1937000	1939000	Bueno, listo.
1939000	1940000	Los leo.
1940000	1941000	Dice...
1941000	1943000	Que blockchain...
1943000	1945000	Aquí te veo ya moco loco.
1945000	1950000	Dice que blockchain es la más recomendable para hacer transferencias de nuestras ganancias de USDT.
1950000	1954000	Dentro de un exchange hacia una cartera fría.
1954000	1956000	Mira, la...
1956000	1959000	Yo utilizo RC20, pero es cara.
1959000	1964000	Yo creo que la mejor es TRC20, que es la red de Tron.
1964000	1967000	Y a pesar que el token usa Tron.
1967000	1968000	¿De acuerdo?
1968000	1976000	Y lo que pasa es que por privacidad es mejor usar Tron que usar la red de RC20.
1976000	1986000	Por la economía es mejor usar TRC20 que usar RC20.
1986000	1987000	Es decir, es más barato.
1987000	1990000	Creo que un dolarito por ahí y ya está.
1990000	1995000	Ahora, el problema con ETH es que incluso yo puedo ver...
1995000	1997000	Si yo sé más o menos...
1997000	1999000	O sea, puedo ver lo que tú tienes.
1999000	2009000	La vez pasada creo que fue en Talent Land también que les mostré en vivo cuánto tenía de dinero en la wallet Vitalik.
2009000	2011000	No sé cómo estará hoy.
2011000	2017000	Entonces, si ustedes no quieren que les pase eso, mejor usen la red de Tron.
2017000	2018000	¿De acuerdo?
2018000	2019000	Y es bastante buena.
2019000	2028000	Aunque el precio de Tron, el token, pues no de la red, sino del token, está en 11 centavos 0.1194.
2028000	2031000	Para mí es una red que está subvalorada.
2031000	2033000	Debería de estar mejor.
2033000	2034000	Y eso que ha subido bastante.
2034000	2036000	No porque andaba por la...
2036000	2039000	Andaba en el mismísimo infierno.
2041000	2042000	Bien, dice.
2042000	2044000	No queda claro cómo interpretar a la DX.
2044000	2045000	Vaya para eso, amigos.
2045000	2048000	No se preocupen porque eso no lo vamos a hacer ahora.
2048000	2057000	Es decir, yo ya tengo un documento que lo vamos a entregar en físico.
2057000	2063000	Los que estén presencial conmigo allí en México vamos a tener un material de apoyo.
2063000	2068000	Es decir, que usted ahora sí va a tener como un libro, pues.
2068000	2072000	Digamos que es el que vamos a trabajar nosotros durante todo el taller.
2072000	2077000	Entonces, en ese libro yo le he dejado a usted básicamente siete años de experiencia en ese librito.
2077000	2083000	Lo que pasa es que lo he dejado un poquito escueto para que usted lo pueda entender con mi ayuda.
2083000	2084000	Conmigo, pues.
2084000	2087000	Porque si no, de repente lo va a ver en Mercado Libre.
2087000	2091000	Y aunque lo compren en Mercado Libre, no lo van a entender.
2091000	2094000	Necesito una explicación.
2094000	2096000	Dice PDF, dice.
2096000	2097000	No, no, no.
2097000	2099000	A ver.
2099000	2100000	Bueno, sí.
2100000	2104000	O sea, sí, es un PDF, pero digamos que yo hice.
2104000	2114000	Pero los que estén virtual se los mando, digamos, a los online se los voy a mandar para que usted lo tenga.
2114000	2121000	Y en la otra pantalla usted me va a ver a mí explicándole lo que usted tiene en su mano.
2121000	2123000	O lo imprime, pues.
2123000	2124000	¿De acuerdo?
2124000	2126000	Si tiene impresora, lo imprime.
2126000	2129000	Son como unos, creo que serán 20, 30 páginas nomás.
2129000	2131000	Poquito, ¿no?
2131000	2137000	Entonces, cuando lleguemos a un patrón de entrada, ahí me voy a detener.
2137000	2142000	Y le voy a explicar exactamente por qué es un patrón de entrada y qué es lo que hay que ver.
2142000	2150000	Y esos falsos positivos que también hay, que yo le he puesto ahí, un falso positivo que me pasó a mí.
2150000	2155000	Porque el estrategia también tiene fallos y esos fallos yo se los voy a enseñar también.
2155000	2161000	Son fallos como, por ejemplo, sale una velita porque se cayó Coinbase.
2161000	2167000	Entonces, la estrategia en sí no contempla que de repente un exchange lo van a hackear.
2168000	2174000	Entonces, sale la velita roja y lo liquidan o le sacan el stop.
2174000	2175000	Pero eso es mi estrategia.
2175000	2178000	No lo va a contemplar nunca porque no lo tenemos así.
2178000	2184000	Pero va a tener material de apoyo, tanto los que estemos en línea y los que estén en presencial también.
2184000	2185000	¿De acuerdo?
2185000	2187000	Seguimos.
2187000	2191000	Dice, ¿cómo sería el patrón de salida en el semanal, en Bitcoin?
2191000	2193000	Vamos a ver.
2193000	2198000	Amigos, no podemos trabajar eso en este momento.
2198000	2203000	O sea, para eso vamos a tener tres días.
2203000	2205000	Es que no es tan fácil.
2205000	2210000	Yo lo hago ver quizás simple por las noches, pero la verdad es que no es tan simple.
2210000	2221000	Mi estrategia contempla Elliot Wyckoff, la teoría de Charlie Down y además la especulación propia del trader u operador de la cuenta.
2221000	2230000	Entonces, que yo lo haga ver simple en YouTube no quiere decir que a la hora de que usted esté aprendiendo conmigo va a ser simple.
2230000	2236000	No va a ser así porque hay bastantes documentos que yo le voy a Irmand, que ya debería de tenerlos.
2236000	2238000	Pero si no los tiene, hombre, que se los volvemos a mandar.
2238000	2243000	De todas maneras, estos documentos yo los voy a llevar todos en PDF.
2243000	2246000	El único que va a tener impreso es la guía oficial.
2246000	2252000	De ahí los documentos de apoyo como la de Wyckoff, que se las puse como la de las velas.
2252000	2260000	Tengo otro documento más que ya hice que es específico para operar Futuros.
2260000	2272000	Que se lo voy a estar mandando quizás el día lunes, probablemente, un día antes que comencemos la charla.
2272000	2275000	O sea, el martes, el lunes, le estaría mandando el de Futuros.
2275000	2280000	De acuerdo, entonces tengo bastante documentación propia que a usted le va a servir.
2280000	2282000	Seguimos.
2284000	2289000	Con respecto al PDF de la sonda de Elliot, cómo se identifican los distintos tipos de onda.
2289000	2292000	Una estrategia o método para no confundir entre una y la otra.
2292000	2295000	Amigos, para eso se necesita bastante tiempo.
2295000	2297000	O sea, no es algo mágico.
2297000	2301000	Solo para estudiar, Elliot nos tomaría una semana.
2302000	2308000	O sea, ya no sería un taller, sino sería un seminario de tres meses.
2308000	2313000	Para que en cada mes estudiemos Elliot, en el otro Wyckoff y por último mi estrategia.
2313000	2320000	Entonces, todo esto yo lo tengo cubierto en ese pequeño libro que yo le voy a dar.
2320000	2328000	Es un documento en donde de Elliot vamos a agarrar únicamente lo que se necesita saber.
2328000	2330000	No más que eso.
2330000	2334000	Porque estudiar Elliot no son solamente los impulsos.
2335000	2339000	En YouTube, usted me mire que yo hago los impulsos y retrocesos.
2339000	2342000	Claro, pero es que Elliot no es solamente eso.
2342000	2345000	O una pauta plana, eso es lo más fácil.
2345000	2348000	Pero es que Elliot no es solamente eso.
2348000	2353000	Entonces, en este momento vamos con preguntas y respuestas, sí, pero no vamos a entrar en detalle en Elliot.
2353000	2357000	Para eso tenemos tres días, martes, miércoles y jueves.
2357000	2363000	Por eso usted pagó en línea, o el presencial, para...
2363000	2369000	Cuando usted me haga esa pregunta, es que mire, la pregunta me la está haciendo porque no hemos hecho el taller.
2369000	2374000	Cuando nosotros ya estemos en el taller, eso ya no me lo va a volver a preguntar.
2374000	2378000	Porque el taller está construido, lo he hecho, de tal manera que usted al finalizar,
2378000	2385000	usted se va a dar cuenta exactamente si es el final de una onda tres o el final de una onda cinco,
2385000	2387000	para caer.
2387000	2389000	Ya no va a tener dudas.
2389000	2395000	Pero es un tema que no puedo desarrollar en este momento.
2395000	2397000	No es para eso este momento.
2397000	2400000	¿Cuál es el nombre del libro de Wyckoff? Wyckoff, tal cual.
2400000	2404000	Yo lo tengo aquí, pero lo que pasa es que no te quiero...
2404000	2406000	¿Cómo te digo?
2406000	2411000	Es que si yo te digo el nombre del que le escribió, mejor le hago un...
2411000	2412000	¿Cómo le llamo?
2412000	2418000	Hago un clon y le pongo trade en latino y yo vendo la teoría de Wyckoff, no.
2418000	2420000	Y me pongo a vender en Amazon.
2420000	2425000	Entonces, no se trata de eso, se trata de entender la acción del precio.
2425000	2432000	Entonces, cualquier libro que hable de la teoría o de la metodología de Wyckoff es bueno.
2432000	2439000	La de acumulación, distribución también es buena, porque eso nos ayuda a entender
2439000	2442000	por qué el mercado sube o por qué cae.
2442000	2446000	Pero no te quiero dar nombres de libros exactos que tú debas comprar.
2446000	2448000	Puedes comprar cualquiera.
2448000	2450000	El estudio es el mismo.
2450000	2452000	Seguimos.
2452000	2455000	Dice, ¿Jaime hablaremos sobre alguna estrategia para scalping?
2455000	2457000	Sí.
2457000	2463000	Yo llevo contemplado eso con ustedes siempre y cuando, a la hora que yo se los esté explicando,
2463000	2465000	ustedes se pongan las pilas.
2465000	2471000	Así significa que si logramos cubrir el contenido, pasamos a scalping.
2471000	2476000	Pero si ni siquiera me logran entender el spot, allí no vamos a quedar.
2476000	2479000	Porque nosotros no vamos a ir a un taller para perder.
2479000	2486000	Vamos a ir a un taller para después, por lo menos, no perder y comenzar a ganar.
2486000	2487000	¿De acuerdo?
2487000	2492000	Entonces, por eso es necesario que las personas, y por eso hago esto,
2492000	2497000	que lleguen al taller, ya lleven un nivel técnico decente.
2497000	2500000	O sea, no estoy diciendo que sean expertos en blockchain.
2500000	2501000	No, eso no.
2501000	2503000	Porque al final usted lo que quiere es ganar dinero.
2503000	2509000	Ahora, si alguien llega y me dice que comience a explicar desde cero,
2509000	2513000	yo creo que los demás se van a enojar un poquitín,
2513000	2517000	porque yo por una persona no voy a comenzar desde cero.
2518000	2526000	Vamos hablando de intermedio, es a los patrones de entrada, patrones de salida,
2526000	2529000	patrones no operables en mi estrategia.
2529000	2532000	Y previo a eso, configurar la estrategia,
2532000	2536000	que todos entendamos para qué sirve cada cosa.
2536000	2539000	Eso es el primer día.
2539000	2541000	Eso es lo que vamos a hacer el primer día.
2541000	2549000	El segundo día, básicamente vamos ya a agarrar entrada, salida y no operables.
2549000	2553000	Y el tercer día, todos a operar.
2553000	2555000	¿Todos a operar con dinero real ustedes?
2555000	2556000	No.
2556000	2557000	Yo sí.
2557000	2560000	Para que usted vea cómo se hace.
2560000	2565000	Usted no, porque como está aprendiendo en un taller,
2565000	2568000	usted lo puede hacer en paper trading junto conmigo.
2568000	2572000	Ahora, si de verdad todos los que lleguen van pilas, van pilas,
2572000	2575000	y vamos avanzando rápido con el contenido,
2575000	2580000	sin duda alguna vamos a llegar incluso a bajar y buscar operaciones
2580000	2583000	del tipo scalping en 15 minutos, 5 minutos,
2583000	2586000	utilizando una estrategia específica para eso.
2586000	2590000	Pero eso ya va a depender de, porque es bastante información,
2590000	2594000	va a depender de que tanto usted asimile la información que yo le voy a ir compartiendo.
2594000	2596000	¿De acuerdo?
2596000	2599000	¿Qué porcentaje de efectividad tiene la estrategia?
2599000	2600000	Depende.
2600000	2601000	En futuros falla más.
2601000	2602000	¿De acuerdo?
2602000	2605000	En spot es de un 70% más o menos.
2605000	2608000	En futuros falla más, por lo que le digo, porque a veces,
2608000	2610000	por eso hay que usar los stop,
2610000	2612000	porque a veces uno tiene claro que va a subir.
2612000	2613000	¿De acuerdo?
2613000	2619000	El problema es que de repente pega un mechazo, te saca el stop y sube.
2619000	2621000	Entonces, por eso falla más.
2621000	2625000	Ahí ya viene la parte de especulación del trader o operador
2625000	2627000	que está aplicando mi estrategia.
2627000	2629000	¿De acuerdo?
2629000	2632000	Bien, dice...
2632000	2635000	¿Deberíamos de estudiar Wyckoff, Elliot y Charlie Down en profundidad?
2635000	2636000	No.
2636000	2639000	No es necesario, porque cuando yo se los explique,
2639000	2642000	se van a dar cuenta que mi estrategia en sí
2642000	2647000	usa Fibonacci, teoría de Charlie Down, Wyckoff y Elliot.
2647000	2649000	Los cuatro.
2649000	2654000	Lo que pasa es que de cada uno agarra lo que necesita
2654000	2657000	para formar un patrón de entrada
2657000	2660000	que sea simple de entender para el que está estudiando.
2660000	2664000	Ahora, si usted quiere o tiene curiosidad de estudiar todo eso,
2664000	2666000	puede hacerlo, pero en la vida real,
2666000	2672000	en la vida real del trader que opera el mercado cripto es...
2672000	2674000	No quiero decir que no sirve,
2674000	2677000	pero le va a servir en el mercado regulado.
2677000	2680000	Ahí sí que le puede servir estudiar a profundidad eso,
2680000	2682000	pero no es necesario.
2682000	2685000	¿Favor reenviar los documentos?
2696000	2699000	Pero es que yo ahorita no podría hacer eso
2699000	2701000	porque estoy en vivo con los demás.
2701000	2703000	O sea, voy a quemar el tiempo ahí.
2703000	2708000	Dice, ¿cómo puedo ver los análisis que compartes en Vinex?
2708000	2710000	No estoy compartiendo.
2710000	2713000	O sea, lo que tienes que hacer es ser referido mío
2713000	2716000	o ser referido de un referido.
2718000	2720000	Porque esa es la opción que tengo.
2720000	2722000	No lo he dejado público.
2722000	2726000	Entonces, si es referido de referido, lo ven.
2726000	2729000	Si es referido directo, lo ve también.
2729000	2731000	Ahora, yo no lo he dejado público
2731000	2734000	porque mucha gente entra solo por curiosidad
2734000	2736000	y los curiosos a perder van a entrar.
2736000	2739000	Pero si usted me sigue,
2739000	2742000	usted va a ver que en este momento no he mandado análisis
2742000	2745000	porque no estoy analizando en este momento.
2745000	2748000	Así que ya básicamente tengo que prepararme
2748000	2750000	para irme para México.
2750000	2752000	O sea, tengo que preparar las maletas,
2752000	2755000	tengo ya que irme a comprar los boletos aéreos,
2755000	2757000	reservar hotel, transporte.
2758000	2761000	Preparar todo, pues, para estar con ustedes allá.
2761000	2763000	Entonces...
2764000	2767000	Por eso no ve que yo lo estoy publicando análisis.
2767000	2769000	¿De acuerdo?
2769000	2771000	Dice, cuando utilizas las EMAS,
2771000	2774000	¿por qué elegís configuración en 55 y también en 10?
2774000	2776000	¿Por qué no 50, por ejemplo?
2776000	2779000	Porque es muy utilizada en Energy Man.
2779000	2783000	Es muy utilizada y de hecho ya necesita...
2783000	2788000	Ya necesita un pequeño ajuste más.
2788000	2791000	La de 10 me sirve para saber...
2791000	2793000	Son preguntas del taller que me están haciendo,
2793000	2794000	pero está bien.
2794000	2797000	La media móvil de 10 periodos sirve para saber
2797000	2801000	que si tenés pendiente positiva con una media móvil de 10 periodos
2801000	2803000	y el precio va cayendo sobre esa,
2803000	2805000	ni de broma se metan en short.
2805000	2807000	Porque esa cosa tiene fuerza alcista.
2807000	2808000	¿De acuerdo?
2808000	2810000	Que ni siquiera te permite hacer laterales.
2810000	2812000	Por eso uso la de 10.
2812000	2814000	Para ver, junto con la de X,
2814000	2816000	si el movimiento es fuerte.
2816000	2820000	Ahora bien, ¿qué pasa cuando cae por debajo de la de 10?
2820000	2824000	Ahí viene ya la parte del taller, ¿no?
2824000	2828000	Donde se forman esas divergencias bajistas
2828000	2830000	dentro de una tendencia alcista
2830000	2833000	en donde nos dice a nosotros que el precio va a dejar de subir.
2833000	2835000	Entonces, si va a dejar de subir,
2835000	2837000	¿para qué vamos a comprar?
2837000	2839000	Ahí lo que uno hace es salirse.
2840000	2842000	Si pasa el tiempo y no cae,
2842000	2846000	es porque los que compraron ahí atrás te están haciendo dudar.
2846000	2849000	No sería un te joden, sino una duda.
2849000	2851000	Ahora, como yo no se los estoy explicando a todos,
2851000	2855000	con dibujitos, como lo voy a hacer allá en México,
2855000	2857000	seguramente ya he perdido un par,
2857000	2858000	y eso es lo que no quiero hacer.
2858000	2862000	No quiero que usted sienta que es difícil lo que le voy a enseñar.
2862000	2864000	De hecho, es bastante simple.
2865000	2867000	¿De acuerdo?
2870000	2874000	¿Más preguntas?
2877000	2881000	¿Es posible repasar la configuración de la DX y Squish?
2882000	2885000	En este momento, no.
2885000	2888000	Tratemos de hacerlo nosotros.
2890000	2893000	Es que yo le voy a dar todo eso.
2894000	2897000	O sea, no nos adelantemos al taller.
2900000	2902000	Aquí el objetivo es hacer,
2902000	2906000	o lo que yo espero es hacer preguntas de...
2907000	2910000	para que cuando llegue conmigo no lleve esas dudas.
2910000	2912000	Porque todas esas que me están haciendo
2912000	2914000	son las que vamos a resolver allá.
2914000	2917000	Y creo que aquí me está dando un dato.
2919000	2922000	Ok, los documentos los vamos a enviar en breve.
2922000	2923000	En breve los vamos a enviar.
2923000	2926000	Permítame que me está dando aquí, que ya no los leo.
2930000	2934000	No, no estoy leyendo el super chat.
2934000	2938000	El chat no lo estoy leyendo porque me dice que tengo que...
2945000	2948000	Déjeme buscar el chat.
2948000	2950000	Dice que lo active.
2950000	2952000	¿Alguien escribe en el chat, por favor,
2952000	2955000	para ver si ahora sí ya me funcionó?
2955000	2957000	Escriban en el chat.
2957000	2959000	Solo quiero ver si funciona el chat,
2959000	2961000	porque se quedó quietecito ahí.
2961000	2963000	¿Qué opinión tiene sobre...
2963000	2965000	Ahora sí, ya lo veo.
2965000	2967000	Voy a cerrar esto.
2967000	2970000	Ahora sí, ya se habilitó el chat otra vez.
2970000	2972000	Bien, los leo. Dice...
2972000	2974000	Hola, hola, hola. Perfecto. Gracias, gracias.
2974000	2976000	Ahora sí los leo. Vamos, ya.
2976000	2978000	Voy a subir para ver las preguntas.
2978000	2980000	Podría brindarnos lecturas, videos o algún material
2980000	2982000	que tengamos que ver los que estamos pensando de cero?
2982000	2984000	Por supuesto.
2984000	2986000	Los documentos se los vamos a enviar...
2990000	2992000	Los reenviamos hoy mismo.
2992000	2995000	Todos los documentos se los vamos a reenviar hoy mismo.
2995000	2997000	A ustedes que, porque yo estoy hablando aquí
2997000	3002000	con los que ya sé que van a ir conmigo.
3002000	3004000	O sea, que vamos a estar juntos.
3006000	3008000	Miren, de los documentos pendientes
3008000	3011000	está el de DeFi que se va a enviar el sábado.
3011000	3013000	Y el que tengo preparado
3013000	3015000	para operar los futuros
3017000	3019000	se lanza...
3021000	3023000	el lunes.
3023000	3025000	O sea, tengo dos documentos más.
3025000	3027000	El de DeFi que también pienso
3027000	3029000	trabajarlo con ustedes allá.
3029000	3031000	Y el de futuros.
3031000	3033000	Futuros lo vamos a ver.
3033000	3035000	El tema de DeFi
3035000	3037000	lo podemos ver siempre y cuando
3037000	3040000	hayamos ya cubierto todo el material.
3040000	3042000	Porque también hay que respetar
3042000	3044000	la cena
3044000	3046000	que vamos a tener juntos
3046000	3048000	el día de jueves.
3048000	3050000	Eso obviamente para los presenciales
3050000	3052000	que no les puedo mandar un Uber
3052000	3054000	a los que están en línea.
3054000	3056000	¿De acuerdo?
3056000	3058000	Y para los que están en el VIP
3058000	3060000	también vamos a tener la...
3060000	3062000	Digamos, esto ya es más como
3062000	3064000	una mentoria.
3064000	3066000	Sólo con los VIP, los que compraron el último,
3066000	3068000	el más caro.
3069000	3071000	Tal vez nos manejemos...
3071000	3073000	Depende de la confianza que logremos
3073000	3075000	o la sinergia que tengamos.
3075000	3077000	Yo le puedo enseñar
3077000	3079000	mi...
3079000	3081000	O sea, mi respaldo de que
3081000	3083000	lo que le estoy enseñando funciona.
3083000	3085000	Pero depende también de cómo
3085000	3087000	vayamos agarrando confianza.
3087000	3089000	Porque mi objetivo es, porque si usted va a ir
3089000	3091000	tiene que confiar en el que le va a enseñar.
3091000	3093000	Y muchas veces
3093000	3095000	cuando la gente...
3095000	3097000	Uno se da cuenta que la gente no está confiando
3097000	3099000	en mostrar las carteras de uno.
3099000	3101000	Para que vean el rendimiento
3101000	3103000	de compra-venta, ¿no?
3103000	3105000	Pero esperemos que eso no sea necesario
3105000	3107000	porque si eso fuera necesario, entonces
3107000	3109000	la cosa se vuelve un poco peligrosa.
3109000	3111000	No es muy inteligente andar por la vida
3111000	3113000	haciendo eso.
3113000	3115000	Con los del VIP, si tienen
3115000	3117000	escenarios específicos en ese
3117000	3119000	espacio
3119000	3121000	que vamos a tener, son 10 personas
3121000	3123000	y yo, o podemos ver
3123000	3125000	cómo nos dividimos ahí para que sea un poco más
3125000	3127000	personalizado. Digamos hacer como dos grupos
3127000	3129000	de 7 y 7.
3129000	3131000	Y yo mejor porque
3131000	3133000	entre más poquito
3133000	3135000	seamos, es mejor porque es
3135000	3137000	más personalizado.
3137000	3139000	¿Qué otra pregunta?
3143000	3145000	Dice, ¿tienes al menos cinco indicadores
3145000	3147000	en tu estrategia? No, yo solo ocupo dos
3147000	3149000	indicadores.
3149000	3151000	Dice, tomando en cuenta esos
3151000	3153000	indicadores, ¿cuál es la clave para
3153000	3155000	precisar si va a subir o va a bajar?
3155000	3157000	No, yo no tengo cinco indicadores, yo tengo
3157000	3159000	dos. Los únicos dos
3159000	3161000	indicadores que yo tengo
3161000	3163000	es el SQUIS y el ADX.
3163000	3165000	Fuera de esos
3165000	3167000	dos, yo no tengo ningún indicador.
3167000	3169000	¿De acuerdo?
3169000	3171000	Eso lo voy a explicar cuando estemos
3171000	3173000	juntos. Lo que pasa
3173000	3175000	es que la gente cree que son indicadores
3175000	3177000	pero no son indicadores.
3179000	3181000	Son el precio.
3183000	3185000	O sea, las medias móviles son el precio.
3185000	3187000	Miren, si es que para nosotros
3187000	3189000	saber si el precio va a subir o va a bajar
3189000	3191000	no necesitamos ni siquiera el
3191000	3193000	SQUIS ni el ADX.
3193000	3195000	Lo que pasa es que yo los utilizo
3195000	3197000	para que usted entienda más fácil.
3197000	3199000	No porque la fuerza, la
3199000	3201000	tendencia y la dirección
3201000	3203000	entran por los ojos.
3203000	3205000	O sea, usted ve el movimiento
3205000	3207000	y usted sabe que va en tendencia el cista.
3207000	3209000	Y que después de los retrocesos vamos a operar
3209000	3211000	en favor de la tendencia.
3211000	3213000	O sea, si usted tiene una estrategia
3213000	3215000	como contiempla Wyckoff, Elliot
3215000	3217000	y contiempla la teoría de Charlie Down
3217000	3219000	que va más enfocada a tendencias
3219000	3221000	y a tiempos, entonces yo se lo explico
3221000	3223000	para que usted al final
3223000	3225000	sepa bien qué hacer
3225000	3227000	utilizando esos dos indicadores
3227000	3229000	que tiene mi estrategia. Solo son dos.
3229000	3231000	No son cinco.
3233000	3235000	Hombre, yo sé que sí.
3237000	3239000	Dice, ¿cuál requisito hay para participar
3239000	3241000	presencial en conocimiento y herramientas?
3243000	3245000	Mira, ya en el...
3245000	3247000	es que no, el online
3247000	3249000	y el presencial es el mismo.
3249000	3251000	Lo que pasa es que imagínate que yo estoy aquí, ¿no?
3251000	3253000	Entonces, digamos que aquí ya estás
3253000	3255000	en el online conmigo.
3255000	3257000	Entonces, yo voy a tener este
3257000	3259000	mismo chat que tengo aquí, lo voy a tener
3259000	3261000	digamos...
3261000	3263000	por allá tengo
3263000	3265000	un cuadro, entonces yo lo voy a estar viendo a ustedes
3265000	3267000	aquí, los que están
3267000	3269000	conmigo online y las personas
3269000	3271000	del presencial van a estar aquí
3271000	3273000	abajo, pues así yo voy a tener el chat
3273000	3275000	de ustedes aquí arriba.
3275000	3277000	Eso es todo. Es lo que estamos haciendo acá.
3277000	3279000	Entonces, el
3279000	3281000	objetivo es que miren,
3281000	3283000	ya lo hice en Colombia y la gente
3283000	3285000	se fue contenta.
3285000	3287000	Llevo el mismo objetivo
3287000	3289000	con ustedes. ¿Por qué? Porque yo
3289000	3291000	le decía a la gente, mire, si es que para ganar
3291000	3293000	no nos complicamos la vida.
3293000	3295000	Lo que nosotros hacemos es que nosotros
3295000	3297000	no somos expertos
3297000	3299000	en el mercado.
3299000	3301000	No.
3301000	3303000	A ver, nosotros queremos
3303000	3305000	ganar dinero. Entonces, para eso
